產業大項	產業細項	HS code
自動資料處理機及其附屬單元	ICT產業	8471
手提電腦	ICT產業	847130
電腦之零附件	ICT產業	847330
手機	ICT產業	851712
交換器及路由器	ICT產業	851762
手機及電話之零件	ICT產業	851770
儲存媒體	ICT產業	8523
電子零組件減積體電路	ICT產業	8532,8533,8534,8540,8541
電容器及電阻器	ICT產業	8532,8533
印刷電路	ICT產業	8534
二極體(含LED)	ICT產業	854110,85414011,85414019,85414021,85414029
太陽電池	ICT產業	85414030
積體電路	ICT產業	8542
DRAM	ICT產業	8542320023
偏光板	ICT產業	900120
鏡頭	ICT產業	9002
液晶裝置	ICT產業	90138030
液晶裝置之零件	ICT產業	90139010
食品機械	所有產品	841720,84186920,84186941,84186942,841981,842111,842230,84224010,843410,843420,84351010,84381010,84381020,843820,843830,843840,843850,843860,843880,847920,847982
工具機暨零組件	所有產品	8456,8457,8458,8459,8460,8461,8462,8463,846620,846630,846693,846694,84834020,84834040
手工具	所有產品	8201,8202,8203,8204,8205,8206,8207,8208,8209,8210,8211,8212,8213,8214,8215,8424200000,8467111000,8467112000,8467113000,8467119000,8467191000,8467192000,8467199000,8467810000,8467890000,8467910000,8467920000,8467990000,8460909010,8465930000,8467210000,8467220000,8467291000,8467292000,8467293000,8467294000,8467299000,8508190000,8509801000,8467299000,8509809000
扣件	所有產品	7318
不織布	所有產品	5603
自行車	所有產品	871200,8512101000,8512102000,8714912000,8714920010,8714920020,8714920030,8714931000,8714932000,8714941000,8714949000,8714950000,8714961000,8714962000,7315110020,8714999011,8714999012,8714999013,8714999014,8714999015,8714999016,4011500000,4013200000,8711903090,8711602000,8711903010
汽配	所有產品	3926300000,4011100010,4011100090,4011200010,4011200090,4012110000,4012120000,4012201000,4012901000,4012902000,4013100000,6813201100,6813202100,6813204000,6813811100,6813812100,6813892000,7007110000,7007210000,7009100000,7318110000,7320101100,7320101900,7320201100,7320201900,8301200000,8302300000,8407339000,8407349000,8408209100,8408209900,8409911000,8409912010,8409913000,8409914000,8409915000,8409916000,8409917010,8409919090,8409991000,8409992000,8409993000,8409994000,8409995000,8409999000,8413301100,8413301200,8413302100,8413303100,8413811000,8415200000,8421232000,8421311000,8425420010,8425490010,8425490090,8481804900,8483101000,8483500000,8483901000,8484903000,8507100000,8511100000,8511200000,8511300010,8511401000,8511500010,8511800000,8511901100,8511901900,8511902000,8511909000,8512201110,8512201200,8512201300,8512201910,8512202000,8512300000,8512400000,8512902000,8512903000,8512904000,8527210000,8527290000,8536504000,8544300000,8707100000,8707901000,8707909000,8708100000,8708210000,8708291100,8708291900,8708292000,8708299000,8708301000,8708302000,8708309100,8708309200,8708309900,8708401000,8708402000,8708408000,8708501100,8708501900,8708502100,8708502900,8708509100,8708509900,8708701000,8708702000,8708703000,8708709000,8708801000,8708802000,8708809000,8708911000,8708919000,8708921000,8708929000,8708930000,8708941000,8708949100,8708949900,8708951000,8708959000,8708991100,8708991200,8708992100,8708992200,8708992300,8708992400,8708996000,8708999000,9025191000,9026101000,9026201000,9029102200,9029201000,9033001000,9104000000,9401200000,9405403400,9603500000
機車	所有產品	871110,871120,871130,871140,871150,8711902010,8711902090,8711909100,8711909110,8711909190
航太	所有產品	8801,880211,880212,880220,880230,880240,8803,8804,8805
遊艇	所有產品	890391,890392,890399
運動用品	所有產品	95042000,95049010,95061100,95061200,95061900,89031010,89079000,63072000,90049020,95062100,95062900,63063090,63064090,95063100,95063200,95063900,95064010,95064020,95064030,95064090,95065100,95065900,95066100,95066210,95066220,95066230,95066290,95066910,95066990,95067010,95067090,95069100,95069900,95071000,95072000,95073000,95079000,42032100,94043000,63062200,63069100,63069910,63069920,63069990,61013000,61023000,62011300,62019200,62019300,62019990,62029300,62111110,62111190,62111210,62111290,62112010,62112090,64021200,64021900,64031200,64031900,64041100,90041000,90191019
醫療器材	所有產品	300510,300590,300610,300691,300650,382200,401410,401490,481890,961900,401511,401519,401590,660200,660390,871310,871390,871420,900130,900140,900150,900190,900311,900319,900390,900410,900490,900630,901050,901320,901811,901812,901813,901814,901819,901820,901831,901832,901839,901841,901849,901850,901890,901910,901920,902000,902110,902121,902129,902131,902139,902140,902150,902190,902212,902213,902214,902219,902221,902229,902230,902290,902511,902519,902720,902780,903010,940210,841920,842119
安控	所有產品	852580,853110,853120,853180,853190,847010,847021,847029,847030,847090
照明	所有產品	85131010,85131020,85131090,85139000,85391000,85392100,85392210,85392220,85392290,85392910,85392920,85392990,85393100,85393210,85393220,85393230,85393910,85393990,85394100,85394910,85394920,85395000,85399000,94051000,94052000,94053000,94054011,94054019,94054020,94054031,94054032,94054033,94054034,94054040,94054050,94054090,94055010,94055090
石化	所有產品	3902,3903,3904,3905,3906,3907,3908,3909,3910,3911,3912,3913,3914,3916,3918,3919,3920,3921,4001,4002,4003,4004,4005,4006,4007,4008,430400,54,55,2711,2901,2902,2903,2904,2905,2906,2907,2908,2909,2910,2911,2912,2913,2914,2915,2916,2917,2918,2919,2920,2921,2922,2923,2924,2925,2926,2927,2928,2929,2930,2931,2932,2933,2934,2935
漁網	所有產品	5608
水產	所有產品	03
蘭花	所有產品	0602909130,0602909141,0602909142,0602909143,0602909144,0602909145,0602909146,0602909147,0602909149,0602909911,0602909912,0602909913,0602909914,0602909915,0602909916,0602909917,0602909919,0603130010,0603130020,0603130030,0603130040,0603130050,0603130060,0603130090
玩具	所有產品	9503001100,9503001900,9503002100,9503002200,9503002300,9503002400,9503002900,9503003100,9503003900,9503004100,9503004900,9503005100,9503005900,9503006100,9503006200,9503006900,9503007100,9503007900,9503008100,9503008900,9503009110,9503009120,9503009190,9503009210,9503009290,9503009310,9503009320,9503009330,9503009390,9503009900,9504301000,9504309000,9504400000,9504500010,9504500019,9504500020,9504500090,9504909000,9505900000
合板	所有產品	4412101100,4412101200,4412109100,4412109200,4412311000,4412312000,4412321000,4412322000,4412391000,4412392000,4412993100,4412993200,4412994000,4412995100,4412995200
